accuracy,precision,recall,f1,roc_auc,round,loss,clients,partition,dp_enabled
0.7240257443949359,0.7212519211960319,0.7302305842410525,0.7257134823562491,0.7923096300899819,1,0.5481352779559897,5,iid,True
0.7385953744960747,0.750408314773571,0.7149526099872684,0.7322515212981744,0.8173711623733964,2,0.5216526017566674,5,iid,True
0.7471532640215008,0.723230258113979,0.800679021077946,0.7599865726753944,0.8194085457491852,3,0.5120641274339643,5,iid,True
0.7452436523092156,0.7315965263861055,0.7746498797566841,0.7525079016078055,0.8217002018695089,4,0.508313633159419,5,iid,True
0.7470825376617866,0.7192167691728379,0.8105814117979913,0.762170790103751,0.8223352834646883,5,0.5065455272991307,5,iid,True
0.7487799702949289,0.7160054047414323,0.8245862215306267,0.7664694280078895,0.821584690651835,6,0.5057468125175575,5,iid,True
0.7475068958200721,0.7260043921973905,0.795020512095063,0.7589466576637407,0.8232494888233443,7,0.5045328176773924,5,iid,True
0.7476483485395007,0.7290331021850058,0.7882303013156033,0.7574768896139206,0.8231951247183001,8,0.5039913602761548,5,iid,True
0.7496994129712143,0.7218451483157365,0.8124204272174282,0.764459234608985,0.8239121626529203,9,0.5032660941878688,5,iid,True
0.7481434330575005,0.7388344226579521,0.7675767435280804,0.752931381391799,0.8244031403524323,10,0.502944279454074,5,iid,True
0.7479312539783577,0.7256340929573838,0.7972839156882161,0.7597735238608789,0.8260635765898598,11,0.5022946871284075,5,iid,True
0.7479312539783577,0.7157985469769733,0.8223228179374735,0.7653719552337064,0.826420294758696,12,0.5021005596187288,5,iid,True
0.7487092439352147,0.7187111221696939,0.8172301598528787,0.7648110147613689,0.8252262253083016,13,0.5015095156853178,5,iid,True
0.7492043284532145,0.7406749555950266,0.76686942990522,0.7535446205170976,0.826738375795828,14,0.5014102052998969,5,iid,True
0.7511139401654997,0.7270401637247378,0.8040741264676757,0.7636192651306509,0.8269966503147497,15,0.5012949012545876,5,iid,True
