accuracy,precision,recall,f1,roc_auc,round,loss,clients,partition,dp_enabled
0.7268547987835066,0.7297607107035392,0.7204696562455792,0.7250854214123007,0.802742035818682,1,0.5414074606111832,5,iid,True
0.7433340405969304,0.7205128205128205,0.795020512095063,0.7559351671262358,0.817536315602338,2,0.5215565905791871,5,iid,True
0.7449607468703586,0.7300385279659891,0.7773376715235536,0.7529460126061934,0.820831276588039,3,0.514309514445137,5,iid,True
0.7454558313883585,0.7375410733844469,0.7620596972697694,0.7495999443400821,0.8217589279086346,4,0.510928763997867,5,iid,True
0.7465874531437867,0.7314126394052045,0.7793181496675626,0.7546058489144579,0.8226378976438152,5,0.5092911950497687,5,iid,True
0.7471532640215008,0.7356352845967089,0.7715376998160984,0.7531588759234965,0.8237383255735594,6,0.508273151274288,5,iid,True
0.7472239903812151,0.7363083164300203,0.7702645352949498,0.7529037610619469,0.8239413756059436,7,0.5070650516838813,5,iid,True
0.7492043284532145,0.7166400196777765,0.8243032960814826,0.7667105263157895,0.823816440209589,8,0.5060393277459332,5,iid,True
0.7482848857769291,0.7111405197305101,0.8361861649455369,0.7686106234965216,0.8234406535857999,9,0.5055186898835201,5,iid,True
0.7496994129712143,0.7256456149322424,0.8029424246710992,0.7623396682559935,0.8251301226964036,10,0.5045477994235202,5,iid,True
0.7516797510432138,0.7296669248644462,0.7995473192813694,0.7630104623692204,0.8259328786383884,11,0.5038684744927402,5,iid,True
0.7495579602517859,0.7308296257524208,0.7900693167350403,0.7592957650737543,0.825384275387707,12,0.5035946091983963,5,iid,True
0.7489921493740718,0.7155277981876071,0.8265666996746357,0.7670495569412537,0.8241567511034392,13,0.5031373313120789,5,iid,True
0.7506895820072141,0.7200695479384004,0.8202008770688923,0.7668804973216057,0.8249355564257193,14,0.5027655277819884,5,iid,True
0.7525991937194992,0.7291158732195561,0.8037912010185316,0.7646346386758175,0.826354105410339,15,0.5024164001277472,5,iid,True
