accuracy,precision,recall,f1,roc_auc,round,loss,clients,partition,dp_enabled
0.65,0.6842105263157895,0.4642857142857143,0.5531914893617021,0.7254464285714285,1,0.6642849732883108,3,iid,True
0.7333333333333333,0.8333333333333334,0.5357142857142857,0.6521739130434783,0.8158482142857143,2,0.5753444318765035,3,iid,True
0.75,0.8095238095238095,0.6071428571428571,0.6938775510204082,0.8470982142857143,3,0.5247160679867474,3,iid,True
0.8,0.8636363636363636,0.6785714285714286,0.76,0.8571428571428572,4,0.48874302528396046,3,iid,True
0.8166666666666667,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8794642857142857,5,0.46540500111303396,3,iid,True
0.8166666666666667,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8794642857142858,6,0.44396862836849876,3,iid,True
0.8166666666666667,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.8816964285714286,7,0.4301619179768284,3,iid,True
0.85,0.9130434782608695,0.75,0.8235294117647058,0.8917410714285714,8,0.41895290300476534,3,iid,True
0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8962053571428571,9,0.40827863679912263,3,iid,True
0.8666666666666667,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9017857142857143,10,0.4003453114201108,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,11,0.3920389954998293,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,12,0.38495933208225946,3,iid,True
0.8833333333333333,0.9565217391304348,0.7857142857142857,0.8627450980392157,0.9029017857142858,13,0.37976159416326305,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,14,0.3757941577546893,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.90625,15,0.3711616635143727,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.90625,16,0.3670048280436895,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9084821428571428,17,0.3627475512178435,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9073660714285714,18,0.35904377816765903,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9107142857142856,19,0.35496631022694264,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857143,20,0.3523275165555981,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9118303571428571,21,0.3477165170586734,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9118303571428571,22,0.3448324951383044,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9118303571428571,23,0.34250466549845376,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9107142857142856,24,0.33996806896277404,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9107142857142857,25,0.33775891168288363,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9073660714285714,26,0.3357894604640322,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9062499999999999,27,0.3323261437718463,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9073660714285714,28,0.33027242721016853,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,29,0.32759614117869357,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9073660714285714,30,0.32465866391100523,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,31,0.32188188659995,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,32,0.319257655145429,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9051339285714286,33,0.31698726493696505,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857142,34,0.31445678943635547,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857142,35,0.3114990643557706,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9084821428571429,36,0.3093705224110858,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857142,37,0.30690848151369976,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9084821428571428,38,0.3057981267829633,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857142,39,0.3031314098184957,3,iid,True
0.9,0.9583333333333334,0.8214285714285714,0.8846153846153846,0.9095982142857142,40,0.30148487085326625,3,iid,True
